Product ID,name,description,sku,brand,url,price,currency,Product Key
185102,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,272145190-250-2,Zara,https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html,19.99,USD,1
188771,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,324052738-800-46,Zara,https://www.zara.com/us/en/tuxedo-jacket-p08896675.html,169.0,USD,2
180176,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,335342680-800-44,Zara,https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html,129.0,USD,3
112917,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,328303236-420-44,Zara,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html,129.0,USD,4
192936,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,312368260-800-2,Zara,https://www.zara.com/us/en/double-faced-jacket-p08281477.html,139.0,USD,5
117590,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,320298385-807-2,Zara,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html,79.9,USD,6
189118,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,278112470-800-2,Zara,https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html,69.99,USD,7
182157,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,322972485-431-46,Zara,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html,159.0,USD,8
141861,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,313854165-401-46,Zara,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html,169.0,USD,9
137121,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,312372602-800-2,Zara,https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html,169.0,USD,10
